Rank,Name,Team,Cl,Position,Games,Min. Played,Team Minutes,Goals Allowed,Saves,Pct.
1,Sean Byrne,Army West Point,Jr.,GK,3,169,180,12,38,.760
2,Michael Gianforcaro,North Carolina,Sr.,GK,2,120,120,10,23,.697
3,Ryan Croddick,Princeton,Jr.,GK,1,63,63,10,22,.688
4,Damian Levin,VMI,Sr.,GK,4,212,242,31,59,.656
5,Caleb Fyock,Ohio St.,So.,GK,5,222,300,18,34,.654
6,Jamison MacLachlan,Stony Brook,Sr.,GK,3,180,180,23,43,.652
7,Logan McNaney,Maryland,Sr.,GK,3,179,181,20,36,.643
8,Cardin Stoller,Rutgers,Jr.,GK,4,233,240,27,48,.640
9,Connor Hapward,Manhattan,Sr.,GK,3,178,180,22,39,.639
10,Connor McMahon,UMBC,Jr.,GK,1,59,59,6,10,.625
11,Will Barnes,Boston U.,Sr.,GK,3,169,180,17,28,.622
12,Jimmy McCool,Syracuse,Jr.,GK,4,219,240,25,41,.621
13,Owen Salanger,Massachusetts,Fr.,GK,3,155,180,22,33,.600
14,Noble Smith,Marist,Sr.,GK,2,119,119,21,31,.596
15,Connor Foley,Brown,So.,GK,2,118,120,19,28,.596
16,Andrew Arcuri,Siena,Sr.,GK,2,120,120,20,29,.592
17,Jack Fracyon,Penn St.,Sr.,GK,3,183,183,25,35,.583
-,Wyatt Knust,Cornell,Sr.,GK,1,60,60,10,14,.583
19,Luke Renaud,Bucknell,Jr.,GK,3,110,180,14,19,.576
20,Ryan Daly,Vermont,So.,GK,2,117,120,18,24,.571
21,Scott Einarson,Bryant,So.,GK,2,114,120,19,25,.568
22,Emmet Carroll,Penn,Sr.,GK,2,120,120,16,21,.568
23,Bennett Wright,Mount St. Mary's,So.,GK,4,241,243,42,55,.567
24,AJ True,UMass Lowell,Fr.,GK,3,180,180,30,39,.565
25,Alex Pazienza,Sacred Heart,Sr.,GK,3,186,186,31,39,.557
26,Tommy Heller,Monmouth,Sr.,GK,3,180,180,36,45,.556
27,Dan Donahue,Providence,Sr.,GK,3,172,180,29,36,.554
28,Kyle Morris,Virginia,Jr.,GK,3,117,180,21,26,.553
29,Kasey Heath,Lehigh,So.,GK,3,180,180,38,47,.553
30,Thomas Ricciardelli,Notre Dame,Jr.,GK,2,83,120,9,11,.550
31,Joe Doherty,Lafayette,Jr.,GK,3,180,180,29,35,.547
32,Max Watkinson,Loyola Maryland,Jr.,GK,3,181,181,30,36,.545
33,Dan Daly,Navy,Jr.,GK,3,135,180,22,26,.542
-,Mason Morel,Dartmouth,Sr.,GK,2,120,120,22,26,.542
35,Anderson Moore,Georgetown,So.,GK,3,178,180,23,27,.540
36,Ben Kieu,Hampton,So.,GK,3,111,180,34,39,.534
37,Zach Vigue,Richmond,Sr.,GK,3,173,180,23,26,.531
38,Owen Hirsch,Fairfield,Sr.,GK,3,186,186,24,26,.520
39,Kevin Ellington,Delaware,Sr.,GK,2,120,120,22,23,.511
40,Colin Lenskold,Utah,Jr.,GK,3,180,180,36,37,.507
41,Patrick Jameison,Duke,So.,GK,3,110,180,16,16,.500
42,Isaac Farmer,St. Bonaventure,Fr.,GK,4,184,244,39,38,.494
43,Mason Oak,Quinnipiac,Sr.,GK,2,118,120,34,33,.493
-,Luke Staudt,Johns Hopkins,Sr.,GK,4,240,240,34,33,.493
45,Ryan Richters,Detroit Mercy,Sr.,GK,2,120,120,30,29,.492
46,Hunter Taylor,Michigan,Jr.,GK,3,180,180,25,24,.490
47,Patrick Scarborough,St. John's (NY),Sr.,GK,2,118,180,23,22,.489
48,Malcolm Kleban,Denver,Sr.,GK,3,111,180,22,21,.488
49,Denny Piekutowski,Iona,Fr.,GK,4,150,240,41,39,.488
50,Zack Overend,High Point,Jr.,GK,4,200,242,39,37,.487
51,Rand Paddack,Mercer,Sr.,GK,3,162,180,33,30,.476
52,Graham Stevens,Harvard,Fr.,GK,2,120,120,29,26,.473
53,Hugh Conrad,Yale,Jr.,GK,2,118,120,26,23,.469
54,Nate Fechter,Robert Morris,So.,GK,3,165,180,38,33,.465
55,Matt LaCombe,Colgate,Sr.,GK,4,224,230,54,46,.460
56,Anthony Kulturides,Merrimack,Jr.,GK,3,159,180,47,39,.453
57,Connor Winters,Binghamton,Sr.,GK,1,60,60,16,13,.448
58,John Long,Holy Cross,Jr.,GK,4,240,240,47,38,.447
59,Nolan Hudnut,Bellarmine,Fr.,GK,5,285,300,71,56,.441
60,Luke Downs,Towson,Sr.,GK,2,120,180,29,22,.431
61,Tommy Kunz,Canisius,Sr.,GK,3,165,180,41,31,.431
62,Jake Marek,Air Force,Sr.,GK,3,150,180,33,24,.421
63,Lucas Lawas,Marquette,Jr.,GK,3,153,180,38,27,.415
64,Justin Dalum,Cleveland St.,Jr.,GK,3,176,180,48,34,.415
65,Angus Snow,Wagner,So.,GK,3,176,179,45,29,.392
66,Jackson Faiola,Hobart,So.,GK,2,120,120,27,17,.386
67,Ryan Della Rocco,Jacksonville,Sr.,GK,3,160,179,45,28,.384
68,Drew McGill,Drexel,Sr.,GK,2,119,119,19,11,.367
69,Anthony Wilson,Villanova,Jr.,GK,2,120,120,26,15,.366
70,Cameron Kurdyla,NJIT,Fr.,GK,1,60,60,15,8,.348
71,Tommy Gross,Saint Joseph's,Jr.,GK,2,120,180,23,12,.343
72,Landon Whitney,UAlbany,So.,GK,2,103,106,30,14,.318
